match_id,match_date,league,home_team,away_team,result,prediction,confidence,correct,home_probability,draw_probability,away_probability,confidence_bucket
1105,2025-04-28 18:45:00,Serie A,Lazio,Parma,DRAW,HOME,37.530430212020356,False,37.530430212020356,33.44628847362053,29.023281314359124,35-39.9
1106,2025-04-28 18:45:00,Serie A,Hellas Verona,Cagliari,AWAY,DRAW,36.00057880104749,False,34.41586697408578,36.00057880104749,29.58355422486673,35-39.9
726,2025-05-01 18:30:00,Premier League,Nottingham Forest,Brentford,AWAY,HOME,41.12232256143381,False,41.12232256143381,27.369033627010282,31.508643811555913,40-44.9
1426,2025-05-02 18:30:00,Bundesliga,1. FC Heidenheim,VfL Bochum,DRAW,HOME,46.51351780393475,False,46.51351780393475,28.070020533226597,25.416461662838667,45-49.9
1107,2025-05-02 18:45:00,Serie A,Torino,Venezia,DRAW,HOME,37.7724725483413,False,37.7724725483413,33.04537131712949,29.1821561345292,35-39.9
337,2025-05-02 19:00:00,La Liga,Rayo Vallecano,Getafe,HOME,HOME,36.959921551433524,True,36.959921551433524,26.82730566179325,36.212772786773236,35-39.9
727,2025-05-02 19:00:00,Premier League,Manchester City,Wolves,HOME,HOME,42.872436424059565,True,42.872436424059565,27.1915760844819,29.935987491458544,40-44.9
728,2025-05-03 11:30:00,Premier League,Aston Villa,Fulham,HOME,HOME,57.384442164411986,True,57.384442164411986,23.99552033879859,18.620037496789426,55-59.9
338,2025-05-03 12:00:00,La Liga,Alaves,Atletico Madrid,DRAW,AWAY,37.20545550728879,False,33.21359696847089,29.580947524240308,37.20545550728879,35-39.9
1109,2025-05-03 13:00:00,Serie A,Parma,Como,AWAY,AWAY,39.31417607402176,True,28.980566499286127,31.705257426692118,39.31417607402176,35-39.9
1108,2025-05-03 13:00:00,Serie A,Cagliari,Udinese,AWAY,HOME,54.11291406007752,False,54.11291406007752,29.481977957788814,16.405107982133664,50-54.9
1427,2025-05-03 13:30:00,Bundesliga,Borussia Mönchengladbach,1899 Hoffenheim,DRAW,HOME,39.72858931408389,False,39.72858931408389,22.47647207423218,37.794938611683925,35-39.9
1428,2025-05-03 13:30:00,Bundesliga,RB Leipzig,Bayern München,DRAW,AWAY,56.14760521817396,False,23.26767233323097,20.58472244859507,56.14760521817396,55-59.9
1429,2025-05-03 13:30:00,Bundesliga,Union Berlin,Werder Bremen,DRAW,AWAY,38.949332811829045,False,33.662620396110924,27.388046792060017,38.949332811829045,35-39.9
1430,2025-05-03 13:30:00,Bundesliga,FC St. Pauli,VfB Stuttgart,AWAY,AWAY,39.866746967107034,True,34.1923763601924,25.94087667270057,39.866746967107034,35-39.9
729,2025-05-03 14:00:00,Premier League,Everton,Ipswich,DRAW,HOME,44.135688176357384,False,44.135688176357384,28.545921750782625,27.318390072859994,40-44.9
730,2025-05-03 14:00:00,Premier League,Leicester,Southampton,HOME,AWAY,38.24160449333683,False,34.980629895460794,26.77776561120238,38.24160449333683,35-39.9
339,2025-05-03 14:15:00,La Liga,Villarreal,Osasuna,HOME,HOME,41.236627762590686,True,41.236627762590686,29.093327048919914,29.670045188489397,40-44.9
1110,2025-05-03 16:00:00,Serie A,Lecce,Napoli,AWAY,AWAY,52.482252947948346,True,20.413108326116465,27.10463872593518,52.482252947948346,50-54.9
1431,2025-05-03 16:30:00,Bundesliga,Borussia Dortmund,VfL Wolfsburg,HOME,HOME,63.67333837337929,True,63.67333837337929,21.09024979836919,15.236411828251518,60-69.9
731,2025-05-03 16:30:00,Premier League,Arsenal,Bournemouth,AWAY,HOME,46.534202509766196,False,46.534202509766196,27.89116061724963,25.57463687298418,45-49.9
